Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
304,14564401,HongyuChen123321,"2025-10-30 14:58:37",912712.000,7,hongyuchen123321
305,14209712,"Akira Hirohashi","2025-10-28 01:35:52",912712.000,14,akirahirohashi
306,14442620,digimagi,"2025-10-28 07:31:58",912712.000,5,digimagi
307,14522447,karinkaito,"2025-10-29 12:57:42",912712.000,9,karinkaito
308,14309141,Dony,"2025-10-27 13:44:44",912712.000,21,edonisraci
309,14484560,ykuroka,"2025-10-29 13:40:13",912712.000,12,ykuroka
310,14365816,"Pankaj Gupta","2025-10-27 14:07:47",912712.000,3,pankajiitr
311,14551356,udrs99,"2025-10-27 14:09:11",912712.000,4,udrs99
312,14195247,"Miss Qiu","2025-10-27 14:44:39",912712.000,6,liuhaixu
313,14586286,tovvian,"2025-10-27 15:07:11",912712.000,1,"benice233,neviara,tixuvo,tovvian"
314,14195725,"SeshuRaju 🧘‍♂️","2025-10-27 17:21:37",912712.000,47,seshurajup
315,14224465,Mtgoob,"2025-10-29 15:34:01",912712.000,10,mtgoob
316,14310139,Robert,"2025-10-27 21:16:12",912712.000,1,roshaw
317,14253029,"Kunal Aarse","2025-10-27 21:39:48",912712.000,25,kunalinfinite
318,14402910,"[Deleted] c94d6cfa-eba8-4357-a611-f987240df8c7","2025-10-27 22:32:06",912712.000,8,del=c0f02c78b1fa483a
319,14565923,"chen bin","2025-10-28 00:39:06",912712.000,7,drchenb
320,14539383,"Haoxuan Li","2025-10-29 03:55:01",912712.000,3,dokidokiyuyuko
321,14556963,yanjixiang,"2025-10-28 03:43:48",912712.000,15,yanjixiang
322,14334575,Steven_Y,"2025-10-28 04:26:46",912712.000,2,yyyu54
323,14589590,senkin13,"2025-10-28 05:26:44",912712.000,2,senkin13
324,14243087,fuxiangting,"2025-10-29 08:19:22",912712.000,6,fuxiangting
325,14402561,"Hotaka Ueda","2025-10-28 07:03:49",912712.000,3,uedahotaka
326,14195034,Pai,"2025-10-29 08:18:05",912712.000,6,rajathrpai
327,14197483,insuperabile,"2025-10-28 09:03:51",912712.000,1,insuperabile
328,14195542,hertryggr,"2025-10-28 10:34:23",912712.000,46,hertryggr
329,14489681,HanMo_JinHeng,"2025-10-28 10:37:45",912712.000,5,hanmojinheng
330,14293125,Suman2208,"2025-10-29 18:25:37",912712.000,6,suman2208
331,14394646,waticson,"2025-10-28 14:42:58",912712.000,16,yutodennou
332,14453044,"Yash Jha","2025-10-28 19:22:23",912712.000,7,dovahkin17a
333,14548083,abscond,"2025-10-30 12:03:17",912712.000,6,abscond
334,14404755,"Ayush chandra Maurya","2025-10-29 03:06:36",912712.000,4,ayushchandramaurya
335,14219864,HiroyukiSasaki,"2025-10-29 03:34:34",912712.000,13,hiroyukisasaki815
336,14450913,islet,"2025-10-29 05:20:34",912712.000,5,kojimar
337,14550996,"MD Shariful Islam","2025-10-29 06:55:58",912712.000,4,shariful07
338,14451384,luckyappley,"2025-10-29 09:24:20",912712.000,16,luckyappley
339,14440110,"Nuno Ferreira","2025-10-29 10:33:28",912712.000,6,ngcferreira
340,14199671,"Code by Nadiia","2025-10-29 11:24:09",912712.000,8,codebynadiia
341,14534132,pluris,"2025-10-29 15:18:22",912712.000,8,pluris
342,14214127,"Fahd Alghanim","2025-10-29 14:26:02",912712.000,32,fahadalgorithm
343,14496985,"Sung Hur","2025-10-29 15:25:10",912712.000,10,kmmmvs
344,14224940,"Md.Hamid Hosen","2025-10-29 18:11:06",912712.000,7,hosen42
345,14400793,"Md Boktiar Mahbub Murad","2025-10-29 22:39:44",912712.000,57,mbmmurad
346,14329042,leaf,"2025-10-29 11:33:50",912597.000,1,xwite147
347,14576299,"Viet Anh Ngo ","2025-10-29 06:16:55",912590.000,13,vietngogm
348,14561418,QuantumCortex,"2025-10-27 15:16:53",912590.000,9,"kaafibored,quantumcortex,srisatyamaram"
349,14583489,"Yimeng Xu","2025-10-30 17:45:21",912590.000,7,aizealotwu
350,14558548,やるときはやるさ,"2025-10-28 14:05:19",912590.000,2,yuanyuan98
351,14586630,QingzhiZhang,"2025-10-28 15:12:38",912590.000,3,ameneurosis23
352,14535119,June,"2025-10-29 03:03:58",912590.000,3,junyuenanyu
353,14377706,"Aikyatan Sinha","2025-10-29 06:13:49",912590.000,24,aikyatansinha
354,14348792,"Jack Junkai Lin","2025-10-30 12:50:21",912590.000,2,jamesjklin
355,14237657,mameotosi,"2025-10-23 15:16:11",912573.000,2,mameotosi
356,14550161,Shinyspring,"2025-10-29 09:12:08",912513.000,45,kwangchoonkim
357,14553463,"Sarvar Akhmedjonovich","2025-10-25 04:35:51",912500.000,15,sarvarakhmedjonovich
358,14517768,9srp6,"2025-10-25 10:42:32",912498.000,1,srpanda96
359,14447758,"Ashen One","2025-10-25 07:14:17",912494.000,11,zhanghanucas
360,14563258,JezzLin,"2025-10-25 08:05:00",912494.000,6,jezzlin
361,14574997,MarineYY,"2025-10-25 08:23:28",912494.000,1,marineyy
362,14279691,AnthonyTherrien,"2025-10-25 10:20:35",912494.000,18,anthonytherrien
363,14581381,Ash,"2025-10-25 10:47:20",912494.000,2,mallajayanthvinay
364,14545086,"Seif Eddine Achour","2025-10-25 13:31:03",912494.000,2,seifachour12
365,14537226,"Hiromasa Oshida","2025-10-28 16:17:30",912494.000,4,hiromasaoshida
366,14379698,"PARAG VIJAY PAWAR","2025-10-25 18:39:29",912494.000,7,paragpawar2008
367,14551180,KirillKlem,"2025-10-25 17:38:08",912494.000,4,kirillklem
368,14401233,"Sarthak Verma","2025-10-30 15:31:12",912494.000,25,sarthak162
369,14199875,"Ángel Jacinto Sánchez Ruiz","2025-10-25 20:33:30",912494.000,5,sacuscreed
370,14547412,任文潮,"2025-10-29 07:14:31",912494.000,9,wenchaoren
371,14543203,"Aleph Beth","2025-10-26 02:33:07",912494.000,11,lgregory
372,14561604,"Swaroop Piduguralla","2025-10-26 04:19:22",912494.000,3,swarooppiduguralla
373,14485158,"book'n jean","2025-10-26 05:39:33",912494.000,2,booknjean
374,14417360,Nikyyy,"2025-10-26 10:28:14",912494.000,3,nikyyy
375,14205168,"GAURAV PARKHEDKAR","2025-10-26 13:41:39",912494.000,3,gauravparkhedkar
376,14216599,"jorge fabian avila","2025-10-30 15:18:13",912494.000,15,jorgefabianavila
377,14199998,"Kumar Abhijeet","2025-10-26 17:25:42",912494.000,35,krabhijeet
378,14205415,"zaid tannouri","2025-10-26 21:50:48",912494.000,9,zaidtannouri
379,14559175,"BELBIN BENO R M","2025-10-27 06:11:40",912494.000,2,belbino
380,14397024,piroyuki,"2025-10-27 12:27:39",912494.000,1,piroyuki
381,14578502,BryanBradfo,"2025-10-27 14:05:16",912494.000,6,bryanbradfo
382,14431651,"Nikunj Bhardwaj","2025-10-30 10:19:29",912494.000,1,valarmorghulis30
383,14559758,zalikaope,"2025-10-27 05:40:27",912493.000,4,krishnakumarbhat
384,14576117,techtech69,"2025-10-25 08:23:21",912492.000,12,techtech69
385,14331354,"Leo #2","2025-10-24 09:49:00",912484.000,13,vc9408
386,14228023,AndNov,"2025-10-24 10:11:17",912484.000,1,andnov
387,14194626,"tensor choko","2025-10-24 10:20:20",912484.000,7,tensorchoko
388,14265327,"Dmitry Kozlov","2025-10-24 10:22:46",912484.000,5,dkozlov
389,14415108,"Trịnh Quang Hưng II","2025-10-24 14:06:25",912484.000,33,"binhvnu,nguyncdngs,nmc27705,trnhquanghngii"
390,14360721,"Ahmed Osman","2025-10-25 06:51:43",912484.000,68,ahmedosmancad
391,14199182,"Bo Peng","2025-10-24 15:56:19",912484.000,2,bopengiowa
392,14217063,SSS,"2025-10-24 20:00:23",912484.000,12,"nikotin55,olegzholobov"
393,14206527,"Mohammad Albaddawi","2025-10-30 16:29:33",912484.000,20,m7mdalbaddawi
394,14197707,"Tech X Hunter","2025-10-24 23:54:16",912484.000,5,deephunting
395,14581347,DirvenCOI,"2025-10-30 08:59:32",912482.000,26,dirvencoi
396,14194700,Gold,"2025-10-26 02:25:46",912477.000,13,jijingdeyi
397,14235370,Jensen_01,"2025-10-24 08:42:35",912471.000,6,jensen01
398,14363399,yigecaiji,"2025-10-24 00:42:13",912471.000,4,yigecaiji
399,14556564,"Shravan Kumar","2025-10-24 03:02:24",912471.000,2,iitanshravan
400,14562093,"JY Oliver","2025-10-24 03:39:38",912471.000,7,"gohzhirong,jyoliver,zehangliu"
401,14512452,"Yurii Z","2025-10-24 11:17:43",912471.000,3,yuriiz
402,14403388,kotemendo,"2025-10-23 06:26:15",912375.000,33,kotemendo
403,14556197,"Kristian Gohi Bi","2025-10-22 21:15:48",912362.000,2,kristiangohibi
404,14580537,kappa,"2025-10-22 22:32:18",912362.000,2,kyosukemorita
405,14581197,DeemoTeemo,"2025-10-23 02:20:47",912362.000,2,deemoteemo
406,14226831,"sunnyinspires dot com","2025-10-23 02:45:39",912362.000,21,"sunnynguyensanjoseca,tommynguyenai"
407,14564985,Buqi_,"2025-10-23 03:05:46",912362.000,1,wjybuqi
408,14398461,Thcanfly,"2025-10-23 06:00:00",912362.000,4,thcanfly
409,14468428,"Tygrysku Yato","2025-10-23 08:19:57",912362.000,1,tygryskuyato
410,14584735,"Chanchal Alam","2025-10-23 09:01:11",912362.000,1,chanchal24
411,14586024,"Qamar math","2025-10-30 18:20:39",912362.000,63,qamarmath
412,14438587,sanhuo11,"2025-10-22 13:56:03",912314.000,5,sanhuo11
413,14199478,"Rafael & Pooja","2025-10-22 14:47:41",912314.000,94,"hashpanda,verma2k00"
414,14295452,"Gobind Singh 82","2025-10-22 15:24:56",912314.000,9,gobindsingh82
415,14247901,Vladislav,"2025-10-24 08:56:26",912314.000,27,vladislavlassa
416,14246832,NATSUHIKO,"2025-10-22 01:03:05",912208.000,8,natsuhiko
417,14389795,HK,"2025-10-22 03:47:40",912208.000,5,hizurukonishi
418,14194904,kakuteki,"2025-10-22 05:55:44",912208.000,5,kakuteki
419,14271833,vecxoz,"2025-10-22 10:25:55",912208.000,1,vecxoz
420,14574297,onigilar,"2025-10-22 03:52:06",912204.000,1,kentorio
421,14371810,"Abid Munna","2025-10-25 03:40:15",912133.000,4,abidmunna
422,14422567,jason,"2025-10-21 15:35:34",912133.000,3,jasonzhang2022
423,14572998,"Νικόλαος Μπόσκος","2025-10-21 20:18:57",912133.000,1,nicknet06
424,14568988,"hwe owe","2025-10-21 13:38:07",912129.000,3,hweowe
425,14340922,k.mas,"2025-10-24 10:15:50",912108.000,2,kgethimas
426,14588155,Bruce,"2025-10-25 06:39:50",912108.000,1,brucec
427,14451122,hanjinjun,"2025-10-27 16:15:17",912108.000,1,hanjinjun
428,14404960,"Stack Dreamer","2025-10-21 03:16:57",912091.000,31,alwdj07
429,14568978,ustcjyz,"2025-10-21 08:01:42",912091.000,1,ustcjyz
430,14574748,srikarpratapsingh,"2025-10-22 06:04:17",912091.000,1,srikarpratapsingh
431,14542666,Korbin,"2025-10-19 15:43:44",912020.000,9,freyzhang
432,14199614,"Mirza Milan Farabi","2025-10-20 20:26:02",912013.000,25,mirzamilanfarabi
433,14223498,Ketalana,"2025-10-26 13:25:13",911999.000,13,shevtsovapolina
434,14566780,Yurina38,"2025-10-22 16:32:43",911998.000,3,yurina38
435,14589116,"Niral myle","2025-10-30 21:36:35",911985.000,34,niralmyle
436,14456090,"Jax Han","2025-10-21 02:35:29",911979.000,3,jaxhan
437,14496436,razernade,"2025-10-20 10:20:08",911897.000,5,razernade
438,14194660,"404 Brain Not Found","2025-10-20 14:41:32",911897.000,37,daosyduyminh
439,14555799,"isa k [dsmlkz]","2025-10-20 05:54:04",911852.000,2,isakev
440,14557347,"Juan Ignacio Rey","2025-10-30 23:42:18",911852.000,28,juanignaciorey
441,14320512,"skip comp","2025-10-29 18:14:23",911838.000,195,"antonoof,tmdofi"
442,14204182,Staratnyte,"2025-10-20 06:20:07",911838.000,1,staratnyte
443,14246210,Matt6283,"2025-10-20 02:11:39",911666.000,10,matt6283
444,14534783,biradar_1913,"2025-10-20 13:32:22",911580.000,8,"biradar1913,hemantgupta313,siddharthvikram1234"
445,14521508,fyoshiha,"2025-10-19 13:35:03",911547.000,1,fyoshiha
446,14423172,"Kyrylo Yemets","2025-10-18 22:22:14",911453.000,3,ruiite
447,14554703,Pokotarorian,"2025-10-18 14:21:41",911439.000,1,massied
448,14197045,"Rola Islait","2025-10-18 17:36:57",911439.000,4,rolaislait
449,14567358,GoldenLLM,"2025-10-21 00:45:27",911439.000,2,gejin2020
450,14553034,ini,"2025-10-19 03:34:12",911431.000,8,inui0702
451,14437381,"Bảo Phúc","2025-10-18 15:27:20",911431.000,2,baophuc1204
452,14260174,sf,"2025-10-18 04:32:36",911321.000,8,shodaifuruya
453,14309965,"Peng Zheng","2025-10-18 07:07:48",911321.000,22,pengzhengcurtis
454,14553788,Sami.codeai,"2025-10-30 09:15:20",911321.000,2,samikshasaithogeti
455,14551756,TeraFlops,"2025-10-17 23:42:00",911296.000,1,sekrier
456,14365560,"Syem Aziz","2025-10-30 07:55:10",911267.000,30,syemaziz
457,14203250,Mimo,"2025-10-17 11:25:40",911053.000,29,architranjan29
458,14197831,chinnum97,"2025-10-17 11:37:13",911053.000,19,"madarshbb,vishalmadhudi"
459,14549756,"Ivan Jacob","2025-10-17 14:38:50",911053.000,1,ivanj0
460,14567003,"Maher Mohsen","2025-10-20 21:55:47",911053.000,1,mezwmohsen
461,14214654,"Ihechilurum Blessed","2025-10-24 07:50:31",911046.000,22,ihechilurumblessed
462,14503437,"Kamran Ahmed","2025-10-17 18:59:50",911038.000,11,kami1976
463,14479635,"Jakup Ymeraj","2025-10-17 08:01:30",910979.000,33,jakupymeraj
464,14547612,"Manan Khanna","2025-10-17 07:45:57",910965.000,2,manankhanna0
465,14195187,CPchenpi,"2025-10-12 02:27:08",910911.002,26,"cpchenpi1,zybo9174"
466,14257247,"Duster Amigos","2025-10-17 05:38:52",910478.000,5,ansh9057265
467,14225032,Code8,"2025-10-30 07:39:14",910211.001,7,benjaminboafo
468,14226071,vinit,"2025-10-25 08:34:09",910145.001,1,vinitkp
469,14213613,apoorvada,"2025-10-30 23:40:36",909679.001,45,apoorvada
470,14487834,vaibhav9849,"2025-10-26 11:23:32",909672.001,5,vaibhav9849
471,14582221,"Prajwal Dongre","2025-10-24 04:43:11",909560.001,2,prajwaldongre
472,14533573,BPHUCKHMT,"2025-10-16 17:44:39",909493.000,7,bphuckhmt
473,14434619,"Sijin Yu","2025-10-21 11:38:57",909493.000,5,"hongyaoyu,sijinyu"
474,14540876,郭奕,"2025-10-16 08:23:09",909467.000,1,weishida
475,14417794,"Djuliansah Alwin","2025-10-16 11:46:11",909467.000,17,dardrich
476,14301162,"Jay Minjae Park","2025-10-16 02:04:20",909372.000,4,minjae
477,14540403,"Blue Light","2025-10-16 06:52:07",909372.000,1,bluelight22
478,14538258,Quigs,"2025-10-15 20:24:44",909371.000,2,natequigley
479,14538462,"hongyi shui","2025-10-15 20:44:06",909371.000,1,shyhandsome
480,14413618,"Yuan Shuaizhuo","2025-10-16 00:22:47",909371.000,5,sutakwon
481,14338744,Hannminn,"2025-10-16 06:21:58",909371.000,1,hannminn
482,14244487,ommo007,"2025-10-15 11:59:44",909255.000,46,ommo0047
483,14496349,"Golf Beginner","2025-10-15 13:44:56",909243.000,3,k0tame
484,14538874,jucious,"2025-10-15 23:48:16",909210.000,1,nepalnishant
485,14538601,"seddik turki","2025-10-15 23:55:53",909210.000,1,seddiktrk
486,14246769,"Gautam Gottipati","2025-10-16 03:20:21",909210.000,1,gautamgottipati
487,14492136,MessiKing,"2025-10-16 03:42:26",909210.000,5,haozhou718
488,14340124,Couhp19,"2025-10-15 02:00:24",909199.000,30,phcnguynbo
489,14289769,"[Deleted] f3728d87-a654-490a-ab18-6b7fcb1c9c96","2025-10-15 04:00:49",909199.000,1,del=f0bd57b4af36f344
490,14518688,Ttkuma,"2025-10-15 10:20:37",909199.000,2,ttkuma
491,14210521,YeonwooSung,"2025-10-15 12:34:41",909199.000,3,neos960518
492,14323437,greedsearch,"2025-10-14 12:15:35",909104.000,1,greedsearch
493,14524684,Vee,"2025-10-14 13:46:51",909104.000,3,watzisname
494,14530542,HeHAO111,"2025-10-14 14:45:58",909104.000,1,hehao111
495,14537441,"Raed Ennab","2025-10-26 20:27:07",909104.000,2,raedennab
496,14528294,andrew.matte,"2025-10-14 06:34:49",908915.000,1,andrewmatte
497,14441076,"Sheyda Asadi","2025-10-14 09:43:04",908915.000,11,sheydaasadii
498,14208848,"Alexander Suzdal","2025-10-30 21:22:39",908486.002,1,alexandersuzdal2
499,14346078,野獸先輩,"2025-10-13 16:26:56",908191.000,13,rayyen216
500,14516842,jang42,"2025-10-12 04:03:03",907974.000,2,jang42
501,14482958,ああ,"2025-10-12 14:43:43",907974.000,5,kiimiisiima
502,14521649,"Mohammed Abdullah","2025-10-13 09:10:51",907974.000,1,curiousmohammed
503,14518831,Songqiping,"2025-10-12 12:37:56",907894.000,1,songqiping
504,14511574,Oliver,"2025-10-11 13:55:54",907421.000,2,wangzn0410
505,14512948,"Lawrence Chernin","2025-10-11 08:31:54",907416.000,2,lawrencechernin
506,14204718,"Kumaran K","2025-10-11 11:08:49",907416.000,5,kumarandatascientist
507,14203953,Niclo,"2025-10-11 03:58:16",907409.000,26,midcarryhz
508,14228378,"Paolo Antonuccio","2025-10-17 19:41:10",907100.001,52,paoloantonuccio
509,14480212,"Cem Birler","2025-10-08 17:48:02",906833.000,5,ozgurcem
510,14505117,"Aarav Ankola","2025-10-09 23:36:06",906784.000,1,aaravankola
511,14508062,sanyul,"2025-10-10 13:57:58",906749.000,5,sanyul
512,14487627,"Thien Nguyen","2025-10-08 22:59:59",906747.000,1,ntthientn
513,14500301,"Taichi Kitajima","2025-10-09 03:49:23",906747.000,2,taichikitajima
514,14277158,ThufailAhamedVJ,"2025-10-09 08:05:00",906747.000,3,thufailahamedvj
515,14495791,"Soe Thandar Lwin","2025-10-08 06:10:46",906741.000,1,soethandar
516,14195495,"Muhammad Qasim Shabbir","2025-10-09 03:42:21",906715.000,112,muhammadqasimshabbir
517,14496883,U.zgkun,"2025-10-08 10:39:59",906708.000,1,asd242538a
518,14284467,"Alex Zverkov","2025-10-07 19:04:23",906100.000,2,alexanderzv
519,14411838,"Free Solo","2025-09-23 20:01:13",905591.000,17,elfsong
520,14486958,Auravana,"2025-10-06 15:46:47",905149.000,4,fountainheadle
521,14292407,"Pushkar Ambastha","2025-10-08 12:23:36",905145.000,3,pushkar007
522,14486183,"Max YUAN","2025-10-06 08:16:10",905132.000,1,yuantianzuo
523,14487514,Ant,"2025-10-06 13:55:44",905132.000,1,anthonytrevino
524,14487625,"YOTA TANIGUCHI","2025-10-06 14:35:55",905132.000,2,obungu
525,14488037,"Labib Shahriar","2025-10-06 15:43:02",905132.000,3,labibshahriar
526,14218370,"Xinlong Zhang","2025-10-06 16:58:37",905132.000,7,zxl2022
527,14489612,Myasui,"2025-10-07 00:36:39",905132.000,1,zaki38
528,14259015,MuonChaser,"2025-10-07 03:51:18",905132.000,2,muonchaser
529,14491495,"Shubham Patel","2025-10-07 12:43:56",905132.000,2,shubham1111
530,14276625,"Luo RuoFei","2025-10-07 14:24:26",905132.000,16,luoruofei
531,14270021,TAMIYA_GE,"2025-10-10 13:35:20",905023.001,21,tamiyage
532,14483539,tkr1205,"2025-10-10 17:00:54",904955.001,4,tkr1205
533,14410823,Pat,"2025-10-04 01:12:40",904518.001,8,junseia
534,14464684,"Reda Chenna","2025-10-30 15:44:04",904515.004,3,redachenna
535,14368500,"Yasser Othman","2025-10-07 19:52:01",904432.000,9,yasserothman
536,14295953,"Omar Khatib","2025-10-02 10:01:23",904378.000,2,omarhkh
537,14263158,"Dalia Mowafy","2025-10-30 19:44:07",904036.000,2,daliamowafy7
538,14321350,LIH.YUN,"2025-10-05 03:00:03",904034.000,16,"flowersbytree,fxlcee,guming886,xieshuai,yyyfznc"
539,14445467,"Jeff Borschowa","2025-10-05 16:00:10",904034.000,11,jeffborschowa
540,14244557,"star #2","2025-10-05 06:33:56",904034.000,4,liangruiqi
541,14483512,"kazuki tejima","2025-10-05 18:04:24",904034.000,2,kazukitejima
542,14243813,"Smart Manoj","2025-10-30 02:59:54",903721.004,3,smartmanoj
543,14306581,John,"2025-10-30 03:40:22",903721.004,2,jxiesd
544,14516157,Zeq,"2025-10-23 15:31:50",903692.000,2,zequanliu
545,14358641,"h yh273279","2025-10-02 11:40:09",903664.000,5,hyh273279
546,14251928,"Yash Marathe","2025-10-02 14:25:57",903664.000,3,maratheyash
547,14417111,xing~xin~xing,"2025-10-02 22:49:53",903664.000,7,xingxinxing
548,14417031,Wasser,"2025-10-03 08:05:49",903664.000,5,yuansimiao
549,14394758,"Srihith Chennareddy","2025-10-03 17:42:01",903664.000,4,"ahanafariq,ahmedwez,srihithchennareddy"
550,14467031,"Henry Michaelson","2025-10-04 23:17:21",903664.000,10,henrymichaelson
551,14277147,"Zirui Yan","2025-10-04 03:17:19",903664.000,5,zincrain
552,14468434,HuyNguyen1902,"2025-10-04 04:09:51",903664.000,2,huynguyen1902
553,14269281,kenhoriu,"2025-10-04 08:26:43",903664.000,1,keta108
554,14225820,"Gabriel Preda","2025-10-04 15:35:15",903664.000,1,gpreda
555,14479200,CodeHacker,"2025-10-04 16:10:53",903664.000,1,junhanzangai
556,14342086,"[Deleted] f61bbd71-bcef-434c-9359-24d3ed16a66b","2025-10-04 23:25:14",903664.000,2,del=0012062f9ec55962
557,14494944,"Ishan Pakuwal","2025-10-08 05:39:44",903664.000,1,ipakuwal
558,14561210,KaitoKusumoto,"2025-10-24 06:55:53",903664.000,1,kaitokusumoto
559,14255829,Neutrinos,"2025-09-22 02:13:13",903491.000,27,"chakriyvs,darshanvipreshsheth,swapnilkannojia"
560,14462128,Raghul,"2025-10-01 03:28:06",902920.000,1,itsraghul
561,14405349,"Pragati Yadav","2025-10-01 03:45:05",902920.000,43,pragatiyadav39
562,14464453,"Firat Gonen","2025-10-01 12:26:20",902920.000,1,frtgnn
563,14469663,nvsrevanth,"2025-10-02 13:49:51",902920.000,1,nvsrevanth
564,14217302,"Deepfield Minds","2025-09-30 11:21:14",902514.000,2,rahuljaisy
565,14441649,pop,"2025-10-01 03:04:40",902514.000,9,yolov5ssd
566,14256069,"Albab Hasan","2025-09-30 15:58:38",902514.000,6,albab12
567,14349321,Slomna,"2025-09-30 16:33:06",902514.000,6,slomna
568,14456140,zhuwenxuan,"2025-10-04 15:50:49",902514.000,4,zhuwenxuan
569,14226466,KoolDrip,"2025-09-30 17:27:41",902514.000,21,kooldrip
570,14461007,CloveXZ,"2025-09-30 20:35:15",902514.000,1,clovexz
571,14453554,JasonEran,"2025-09-30 08:02:22",902512.000,3,jasoneran
572,14522344,INT-GWU-MI,"2025-10-30 22:36:06",902104.005,23,"isabellayeboah,nuttapoljiamruen,tapiwamutodza"
573,14300901,"Ahmad Farooq","2025-10-10 13:26:55",900688.000,8,ahmadfarooq08
574,14203846,"Darshan Makwana","2025-09-28 13:30:20",900594.000,65,ellipticaloranges
575,14458186,"Vladimir Larin","2025-09-30 10:12:51",899591.000,1,vlarine
576,14357624,"Cristiano Calcagno","2025-09-29 16:47:27",899523.000,17,cristianocalcagno
577,14451113,"Sam AZ","2025-09-29 08:08:49",899409.000,1,hesamalizadeh
578,14451642,xTimeCrystal,"2025-09-29 10:27:11",899409.000,2,xtimecrystalalt
579,14354469,"Setec Astronomy","2025-09-19 19:04:56",898079.002,9,deathsend
580,14326172,"Kibrom kidane ","2025-10-01 09:42:10",897834.003,16,kuwrom
581,14267164,TNA,"2025-09-27 14:03:58",897745.000,11,"berlinchen1999,judith007"
582,14280597,"Jonathan Zunxian Siew","2025-09-26 09:38:17",897743.000,7,johnnyrobs19
583,14440455,Lisongze,"2025-09-26 16:41:51",897743.000,2,lisongze
584,14217223,"Dva Cheng","2025-09-28 12:56:22",897743.000,2,dvacheng
585,14442072,"Yoko Inaba","2025-09-27 03:56:16",897734.000,1,yokoinaba
586,14381300,"Wang Zhiyao (王致尧)","2025-09-26 08:01:07",897556.000,2,wzyfromhust
587,14402109,"Alf Erik Berg","2025-10-06 19:41:04",897425.000,1,alferikberg
588,14447470,"Josip Vukušić","2025-10-01 06:49:02",896886.000,8,josipvukui
589,14196381,"Pavel Orlov","2025-09-23 05:08:39",896660.000,56,sapr3s
590,14215248,"Martin Mbalkam","2025-09-24 17:10:11",896015.000,5,martinmbalkam
591,14211765,"Fabian Henning","2025-09-24 18:03:27",896015.000,1,crustacean
592,14430831,"Quang Anh Đặng","2025-09-24 18:05:12",896015.000,1,quanganh27th
593,14421632,"Kush Trivedi","2025-09-24 19:38:35",896015.000,1,kushtrivedi14728
594,14445530,"Roland Luethy","2025-09-27 23:24:47",895201.000,1,rluethy
595,14435238,"Jerry Wang0429","2025-09-28 16:32:04",895201.000,1,jerrywang0429
596,14405823,"Tom W","2025-10-04 19:47:01",895201.000,1,tomwwwww
597,14433100,SUPERadonai,"2025-09-25 07:16:49",895185.000,1,trumpadonai
598,14392123,"Deep Ribadia","2025-09-23 10:39:29",894929.000,6,deepribadia
599,14383145,leventilo,"2025-09-23 17:56:52",894929.000,56,leventilo
600,14203627,thechint,"2025-09-24 05:02:12",894929.000,3,thechint
601,14395749,"Mikhail Kotyushev","2025-09-23 21:45:27",894726.000,4,mkotyushev
602,14289639,"Vibe Coder","2025-09-19 02:27:38",894504.000,2,ctlllll
603,14337118,DeMoN_2202,"2025-10-30 08:54:23",893681.008,1,harshit22020
604,14420780,HineMusk,"2025-09-23 02:26:07",893426.000,2,hinemusk
605,14417622,levihe23,"2025-09-22 13:39:08",893120.000,1,levihe23
606,14418587,AbhilashVJ,"2025-09-22 19:51:41",893120.000,2,abh001
607,14416175,zhouhandsome,"2025-09-22 08:30:45",892852.000,2,zhouhandsome
608,14198808,"Taylor S. Amarel","2025-09-22 12:15:28",892852.000,80,taylorsamarel
609,14212956,kmdkagglecomp,"2025-09-21 20:54:45",892527.000,524,kmdkagglecomp
610,14279606,Yamachan,"2025-10-15 02:07:48",892169.000,15,yamagatafairy96
611,14262497,bobdobbob,"2025-09-12 14:50:03",891402.006,51,bobdobbob
612,14227031,"Ndièye Diop","2025-10-25 12:05:14",890771.000,17,ndiyediop
613,14488699,"Ajay Sawandkar","2025-10-06 20:24:48",887773.000,2,ajaysawandkar
614,14474890,"Naga Venkat Marneni","2025-10-04 22:31:01",887602.000,1,marneninagavenkat
615,14246650,yarntime,"2025-09-22 02:49:54",886841.000,4,yarntime
616,14408998,ParvChavda01,"2025-09-22 08:11:41",886840.000,1,parvchavda01
617,14197304,"Ansh Kushwaha","2025-09-20 17:28:37",886721.000,2,anshkushwaha
618,14228965,"Dhavan Shah","2025-09-20 20:32:57",886721.000,2,dhavanshah99
619,14376723,"never played golf","2025-09-18 23:05:41",885546.000,7,"anokas,joeoconnor"
620,14242138,"Masanori Nakazato","2025-10-25 00:27:17",884973.000,160,nak326
621,14226184,"AMIT GEHLOT","2025-09-24 11:20:53",884694.003,29,amitgehlot
622,14407842,kwa,"2025-09-23 13:34:12",883962.000,3,ikaroskaggle
623,14407717,ygswysk,"2025-09-20 07:01:41",883644.000,2,ygswysk
624,14407236,"Thinh RE","2025-09-20 07:59:03",883644.000,1,thinhhuynh3108
625,14408174,"Uwe Knopf","2025-09-20 09:03:12",883644.000,2,uweknopf
626,14580939,"Machine Minds","2025-10-30 23:56:11",882665.001,48,"ahmeteminyilmaz,allentmaraire,munashekabuya"
627,14472972,Vi,"2025-10-11 09:50:46",880863.000,24,vhdrostami
628,14339643,kgrou0,"2025-09-22 09:15:27",880335.000,5,kgrou0
